manufacturer,name,speed,glide,turn,fade,diameter,height,rim_depth,rim_width,bead,stability,link
ABC,Mission,4.0,5.0,-1.0,2.0,21.8 cm,2.0 cm,1.4 cm,1.2 cm,Beadless,Stable,https://infinitediscs.com/ABC-Mission
ABC,Flying Squirrel,6.0,5.0,-3.0,2.0,21.9 cm,2.0 cm,1.4 cm,1.3 cm,Beadless,Understable,https://infinitediscs.com/ABC-Flying-Squirrel
ABC,Bee Line,14.0,5.0,-3.0,2.0,21.1 cm,1.6 cm,1.1 cm,2.5 cm,Beadless,Understable,https://infinitediscs.com/ABC-Bee-Line
ABC,Money Putter,2.0,3.0,0.0,2.0,21.0 cm,2.2 cm,1.0 cm,1.0 cm,Beadless,Overstable,https://infinitediscs.com/ABC-Money-Putter
ABC,Gamma Ray,9.0,4.0,-2.0,2.0,21.0 cm,2.0 cm,1.3 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/ABC-Gamma-Ray
ABC,Secret Weapon,10.0,5.0,-3.0,2.0,21.1 cm,2.0 cm,1.1 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/ABC-Secret-Weapon
Above Ground Level,Cedar,11.0,5.0,0.0,3.0,21.5 cm,1.7 cm,1.1 cm,2.2 cm,Beadless,Overstable,https://infinitediscs.com/Above-Ground-Level-Cedar
Above Ground Level,Cypress,12.0,5.0,-2.0,2.0,21.2 cm,1.5 cm,1.1 cm,2.2 cm,Beadless,Stable,https://infinitediscs.com/Above-Ground-Level-Cypress
Above Ground Level,Sycamore,7.0,5.0,0.0,1.0,21.2 cm,2.2 cm,1.3 cm,1.7 cm,Beadless,Stable,https://infinitediscs.com/Above-Ground-Level-Sycamore
Above Ground Level,Magnolia,5.0,4.0,0.0,2.0,21.8 cm,2.0 cm,1.2 cm,1.4 cm,Beadless,Stable,https://infinitediscs.com/Above-Ground-Level-Magnolia
Above Ground Level,Baobab,4.0,1.0,1.0,3.0,21.3 cm,1.7 cm,1.3 cm,1.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Above-Ground-Level-Baobab
Above Ground Level,Madrone,3.0,3.0,0.0,1.0,21.0 cm,2.2 cm,1.7 cm,1.0 cm,Beaded,Stable,https://infinitediscs.com/Above-Ground-Level-Madrone
Above Ground Level,Manzanita,3.0,3.0,0.0,2.0,21.0 cm,1.1 cm,1.6 cm,1.1 cm,Beadless,Overstable,https://infinitediscs.com/Above-Ground-Level-Manzanita
Above Ground Level,Ponderosa,2.0,4.0,-1.0,0.0,21.1 cm,2.1 cm,1.5 cm,1.0 cm,Beadless,Understable,https://infinitediscs.com/Above-Ground-Level-Ponderosa
AquaFlight,Osprey,12.0,4.0,-1.0,2.0,21.0 cm,1.6 cm,1.2 cm,2.3 cm,Beadless,Overstable,https://infinitediscs.com/AquaFlight-Osprey
AquaFlight,Pelican,6.0,5.0,-3.0,1.0,21.1 cm,2.0 cm,1.2 cm,1.7 cm,Beadless,Understable,https://infinitediscs.com/AquaFlight-Pelican
AquaFlight,Peace Frog,3.0,3.0,0.0,1.0,21.0 cm,2.2 cm,1.6 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/AquaFlight-Peace-Frog
AquaFlight,Dragonfly,5.0,4.0,-3.0,1.0,21.0 cm,1.6 cm,1.1 cm,1.4 cm,Beadless,Understable,https://infinitediscs.com/AquaFlight-Dragonfly
AquaFlight,Swift,7.0,5.0,-2.0,1.0,21.0 cm,1.6 cm,1.1 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/AquaFlight-Swift
Axiom,Proxy,3.0,3.0,-1.0,0.5,21.0 cm,1.8 cm,1.5 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/Axiom-Proxy
Axiom,Insanity,9.0,5.0,-2.0,1.5,21.1 cm,1.4 cm,1.2 cm,2.0 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Insanity
Axiom,Envy,3.0,3.0,0.0,2.0,21.0 cm,1.8 cm,1.4 cm,1.1 cm,Beadless,Overstable,https://infinitediscs.com/Axiom-Envy
Axiom,Inspire,7.0,4.0,-1.0,2.0,21.1 cm,1.5 cm,1.2 cm,1.8 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Inspire
Axiom,Crave,7.0,5.0,-1.0,1.0,21.1 cm,1.4 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Axiom-Crave
Axiom,Theory,4.0,4.0,-1.5,1.0,21.5 cm,1.9 cm,1.3 cm,1.2 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Theory
Axiom,Delirium,14.5,5.0,-0.5,3.0,21.1 cm,1.8 cm,1.2 cm,2.5 cm,Beadless,Very Overstable,https://infinitediscs.com/Axiom-Delirium
Axiom,Alias,4.0,4.0,-1.0,1.0,21.5 cm,1.9 cm,1.2 cm,1.2 cm,Beadless,Stable,https://infinitediscs.com/Axiom-Alias
Axiom,Defy,11.0,4.0,0.0,3.5,21.1 cm,1.5 cm,1.1 cm,2.2 cm,Beadless,Stable,https://infinitediscs.com/Axiom-Defy
Axiom,Vanish,11.0,5.0,-3.0,2.0,21.1 cm,1.5 cm,1.1 cm,2.2 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Vanish
Axiom,Excite,14.0,5.0,-2.0,2.0,21.1 cm,2.1 cm,1.2 cm,2.5 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Excite
Axiom,Fireball,9.0,3.0,0.0,3.5,21.0 cm,1.4 cm,1.1 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Axiom-Fireball
Axiom,Clash,7.0,4.0,-1.0,2.0,21.1 cm,1.4 cm,1.1 cm,1.8 cm,Beadless,Overstable,https://infinitediscs.com/Axiom-Clash
Axiom,Panic,13.0,4.0,-0.5,3.0,21.1 cm,1.7 cm,1.2 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Axiom-Panic
Axiom,Tantrum,14.0,5.0,-1.5,3.0,21.1 cm,1.9 cm,1.2 cm,2.5 cm,Beadless,Stable,https://infinitediscs.com/Axiom-Tantrum
Axiom,Tenacity,13.0,5.0,-2.5,2.0,21.1 cm,1.9 cm,1.2 cm,2.4 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Tenacity
Axiom,Thrill,11.0,4.0,0.0,3.0,21.1 cm,1.5 cm,1.1 cm,2.2 cm,Beadless,Overstable,https://infinitediscs.com/Axiom-Thrill
Axiom,Pyro,5.0,4.0,0.0,2.5,21.5 cm,1.6 cm,1.3 cm,1.6 cm,Beadless,Overstable,https://infinitediscs.com/Axiom-Pyro
Axiom,Mayhem,13.0,5.0,-1.5,2.0,21.1 cm,1.9 cm,1.2 cm,2.4 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Mayhem
Axiom,Wrath,9.0,4.0,-1.0,2.0,21.0 cm,1.4 cm,1.2 cm,2.0 cm,Beadless,Stable,https://infinitediscs.com/Axiom-Wrath
Axiom,Virus,9.0,5.0,-3.5,1.0,21.1 cm,1.4 cm,1.2 cm,2.0 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Virus
Crosslap,Credo,3.0,2.0,0.0,3.0,21.7 cm,2.0 cm,1.6 cm,1.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Crosslap-Credo
Crosslap,Lucky,5.0,5.0,-2.0,1.0,21.7 cm,1.7 cm,1.3 cm,1.3 cm,Beadless,Understable,https://infinitediscs.com/Crosslap-Lucky
